Hospital,Date,KPI,Value,Metric
National,2022-01-01,% Within 6 Hours,0.587,All
National,2022-01-01,% Within 9 Hours,0.748,All
National,2022-01-01,% Within 24 Hours,0.959,All
National,2022-01-01,# > 24 Hours,4561,All
National,2022-02-01,% Within 6 Hours,0.571,All
National,2022-02-01,% Within 9 Hours,0.733,All
National,2022-02-01,% Within 24 Hours,0.953,All
National,2022-02-01,# > 24 Hours,5162,All
National,2022-03-01,% Within 6 Hours,0.567,All
National,2022-03-01,% Within 9 Hours,0.732,All
National,2022-03-01,% Within 24 Hours,0.953,All
National,2022-03-01,# > 24 Hours,5992,All
National,2022-04-01,% Within 6 Hours,0.587,All
National,2022-04-01,% Within 9 Hours,0.749,All
National,2022-04-01,% Within 24 Hours,0.961,All
National,2022-04-01,# > 24 Hours,4646,All
National,2022-05-01,% Within 6 Hours,0.591,All
National,2022-05-01,% Within 9 Hours,0.755,All
National,2022-05-01,% Within 24 Hours,0.965,All
National,2022-05-01,# > 24 Hours,4593,All
National,2022-06-01,% Within 6 Hours,0.577,All
National,2022-06-01,% Within 9 Hours,0.738,All
National,2022-06-01,% Within 24 Hours,0.957,All
National,2022-06-01,# > 24 Hours,5155,All
National,2022-07-01,% Within 6 Hours,0.573,All
National,2022-07-01,% Within 9 Hours,0.731,All
National,2022-07-01,% Within 24 Hours,0.955,All
National,2022-07-01,# > 24 Hours,5268,All
National,2022-08-01,% Within 6 Hours,0.585,All
National,2022-08-01,% Within 9 Hours,0.742,All
National,2022-08-01,% Within 24 Hours,0.957,All
National,2022-08-01,# > 24 Hours,5199,All
National,2022-09-01,% Within 6 Hours,0.585,All
National,2022-09-01,% Within 9 Hours,0.743,All
National,2022-09-01,% Within 24 Hours,0.955,All
National,2022-09-01,# > 24 Hours,5352,All
National,2022-10-01,% Within 6 Hours,0.553,All
National,2022-10-01,% Within 9 Hours,0.72,All
National,2022-10-01,% Within 24 Hours,0.947,All
National,2022-10-01,# > 24 Hours,7082,All
National,2022-11-01,% Within 6 Hours,0.549,All
National,2022-11-01,% Within 9 Hours,0.717,All
National,2022-11-01,% Within 24 Hours,0.946,All
National,2022-11-01,# > 24 Hours,6898,All
National,2022-12-01,% Within 6 Hours,0.518,All
National,2022-12-01,% Within 9 Hours,0.689,All
National,2022-12-01,% Within 24 Hours,0.938,All
National,2022-12-01,# > 24 Hours,7954,All
National,2023-01-01,% Within 6 Hours,0.575,All
National,2023-01-01,% Within 9 Hours,0.736,All
National,2023-01-01,% Within 24 Hours,0.949,All
National,2023-01-01,# > 24 Hours,5756,All
National,2023-02-01,% Within 6 Hours,0.561,All
National,2023-02-01,% Within 9 Hours,0.728,All
National,2023-02-01,% Within 24 Hours,0.952,All
